fips,familyCode,weightCensus,ageAdjustment,weightFinal,
41027,a1i0p0s2t0,,0.2899,,
41027,a1i0p0s1t1,,0.497,,
41027,a1i0p0s0t2,,0.213,,
41027,a2i2p0s0t0,,0.25,,
41027,a2i1p1s0t0,,0.5,,
41027,a2i1p0s1t0,,0.2692,,
41027,a2i1p0s0t1,,0.2308,,
41027,a2i0p2s0t0,,0.25,,
41027,a2i0p1s1t0,,0.2692,,
41027,a2i0p1s0t1,,0.2308,,
41027,a2i0p0s2t0,,0.2899,,
41027,a2i0p0s1t1,,0.497,,
41027,a2i0p0s0t2,,0.213,,
41029,a1i2p0s0t0,,0.25,,
41029,a1i1p1s0t0,,0.5,,
41029,a1i1p0s1t0,,0.2692,,
41029,a1i1p0s0t1,,0.2308,,
41029,a1i0p2s0t0,,0.25,,
41029,a1i0p1s1t0,,0.2692,,
41029,a1i0p1s0t1,,0.2308,,
41029,a1i0p0s2t0,,0.2899,,
41029,a1i0p0s1t1,,0.497,,
41029,a1i0p0s0t2,,0.213,,
41029,a2i2p0s0t0,,0.25,,
41029,a2i1p1s0t0,,0.5,,
41029,a2i1p0s1t0,,0.2692,,
41029,a2i1p0s0t1,,0.2308,,
41029,a2i0p2s0t0,,0.25,,
41029,a2i0p1s1t0,,0.2692,,
41029,a2i0p1s0t1,,0.2308,,
41029,a2i0p0s2t0,,0.2899,,
41029,a2i0p0s1t1,,0.497,,
41029,a2i0p0s0t2,,0.213,,
41031,a1i2p0s0t0,,0.25,,
41031,a1i1p1s0t0,,0.5,,
41031,a1i1p0s1t0,,0.2692,,
41031,a1i1p0s0t1,,0.2308,,
41031,a1i0p2s0t0,,0.25,,
41031,a1i0p1s1t0,,0.2692,,
41031,a1i0p1s0t1,,0.2308,,
41031,a1i0p0s2t0,,0.2899,,
41031,a1i0p0s1t1,,0.497,,
41031,a1i0p0s0t2,,0.213,,
41031,a2i2p0s0t0,,0.25,,
41031,a2i1p1s0t0,,0.5,,
41031,a2i1p0s1t0,,0.2692,,
41031,a2i1p0s0t1,,0.2308,,
41031,a2i0p2s0t0,,0.25,,
41031,a2i0p1s1t0,,0.2692,,
41031,a2i0p1s0t1,,0.2308,,
41031,a2i0p0s2t0,,0.2899,,
41031,a2i0p0s1t1,,0.497,,
41031,a2i0p0s0t2,,0.213,,
41033,a1i2p0s0t0,,0.25,,
41033,a1i1p1s0t0,,0.5,,
41033,a1i1p0s1t0,,0.2692,,
41033,a1i1p0s0t1,,0.2308,,
41033,a1i0p2s0t0,,0.25,,
41033,a1i0p1s1t0,,0.2692,,
41033,a1i0p1s0t1,,0.2308,,
41033,a1i0p0s2t0,,0.2899,,
41033,a1i0p0s1t1,,0.497,,
41033,a1i0p0s0t2,,0.213,,
41033,a2i2p0s0t0,,0.25,,
41033,a2i1p1s0t0,,0.5,,
41033,a2i1p0s1t0,,0.2692,,
41033,a2i1p0s0t1,,0.2308,,
41033,a2i0p2s0t0,,0.25,,
41033,a2i0p1s1t0,,0.2692,,
41033,a2i0p1s0t1,,0.2308,,
41033,a2i0p0s2t0,,0.2899,,
41033,a2i0p0s1t1,,0.497,,
41033,a2i0p0s0t2,,0.213,,
41035,a1i2p0s0t0,,0.25,,
41035,a1i1p1s0t0,,0.5,,
41035,a1i1p0s1t0,,0.2692,,
41035,a1i1p0s0t1,,0.2308,,
41035,a1i0p2s0t0,,0.25,,
41035,a1i0p1s1t0,,0.2692,,
41035,a1i0p1s0t1,,0.2308,,
41035,a1i0p0s2t0,,0.2899,,
41035,a1i0p0s1t1,,0.497,,
41035,a1i0p0s0t2,,0.213,,
41035,a2i2p0s0t0,,0.25,,
41035,a2i1p1s0t0,,0.5,,
41035,a2i1p0s1t0,,0.2692,,
41035,a2i1p0s0t1,,0.2308,,
41035,a2i0p2s0t0,,0.25,,
41035,a2i0p1s1t0,,0.2692,,
41035,a2i0p1s0t1,,0.2308,,
41035,a2i0p0s2t0,,0.2899,,
41035,a2i0p0s1t1,,0.497,,
41035,a2i0p0s0t2,,0.213,,
41037,a1i2p0s0t0,,0.25,,
41037,a1i1p1s0t0,,0.5,,
41037,a1i1p0s1t0,,0.2692,,
41037,a1i1p0s0t1,,0.2308,,
41037,a1i0p2s0t0,,0.25,,
41037,a1i0p1s1t0,,0.2692,,
41037,a1i0p1s0t1,,0.2308,,
41037,a1i0p0s2t0,,0.2899,,
41037,a1i0p0s1t1,,0.497,,
41037,a1i0p0s0t2,,0.213,,
41037,a2i2p0s0t0,,0.25,,
41037,a2i1p1s0t0,,0.5,,
41037,a2i1p0s1t0,,0.2692,,
41037,a2i1p0s0t1,,0.2308,,
41037,a2i0p2s0t0,,0.25,,
41037,a2i0p1s1t0,,0.2692,,
41037,a2i0p1s0t1,,0.2308,,
41037,a2i0p0s2t0,,0.2899,,
41037,a2i0p0s1t1,,0.497,,
41037,a2i0p0s0t2,,0.213,,
41039,a1i2p0s0t0,,0.25,,
41039,a1i1p1s0t0,,0.5,,
41039,a1i1p0s1t0,,0.2692,,
41039,a1i1p0s0t1,,0.2308,,
41039,a1i0p2s0t0,,0.25,,
41039,a1i0p1s1t0,,0.2692,,
41039,a1i0p1s0t1,,0.2308,,
41039,a1i0p0s2t0,,0.2899,,
41039,a1i0p0s1t1,,0.497,,
41039,a1i0p0s0t2,,0.213,,
41039,a2i2p0s0t0,,0.25,,
41039,a2i1p1s0t0,,0.5,,
41039,a2i1p0s1t0,,0.2692,,
41039,a2i1p0s0t1,,0.2308,,
41039,a2i0p2s0t0,,0.25,,
41039,a2i0p1s1t0,,0.2692,,
41039,a2i0p1s0t1,,0.2308,,
41039,a2i0p0s2t0,,0.2899,,
41039,a2i0p0s1t1,,0.497,,
41039,a2i0p0s0t2,,0.213,,
41041,a1i2p0s0t0,,0.25,,
41041,a1i1p1s0t0,,0.5,,
41041,a1i1p0s1t0,,0.2692,,
41041,a1i1p0s0t1,,0.2308,,
41041,a1i0p2s0t0,,0.25,,
41041,a1i0p1s1t0,,0.2692,,
41041,a1i0p1s0t1,,0.2308,,
41041,a1i0p0s2t0,,0.2899,,
