"","fips","familyCode","ageAdjustment","marriedUnder6","marriedOver6","marriedBoth","unmarriedUnder6","unmarriedOver6","unmarriedBoth"
"116",41009,"a2i0p1s1t0",0.2692,0.191,0.611,0.198,0.809,0.389,0.802
"117",41009,"a2i0p1s0t1",0.2308,0.191,0.611,0.198,0.809,0.389,0.802
"118",41009,"a2i0p0s2t0",0.2899,0.191,0.611,0.198,0.809,0.389,0.802
"119",41009,"a2i0p0s1t1",0.497,0.191,0.611,0.198,0.809,0.389,0.802
"120",41009,"a2i0p0s0t2",0.213,0.191,0.611,0.198,0.809,0.389,0.802
"121",41011,"a1i2p0s0t0",0.25,0.209,0.617,0.174,0.791,0.383,0.826
"122",41011,"a1i1p1s0t0",0.5,0.209,0.617,0.174,0.791,0.383,0.826
"123",41011,"a1i1p0s1t0",0.2692,0.209,0.617,0.174,0.791,0.383,0.826
"124",41011,"a1i1p0s0t1",0.2308,0.209,0.617,0.174,0.791,0.383,0.826
"125",41011,"a1i0p2s0t0",0.25,0.209,0.617,0.174,0.791,0.383,0.826
"126",41011,"a1i0p1s1t0",0.2692,0.209,0.617,0.174,0.791,0.383,0.826
"127",41011,"a1i0p1s0t1",0.2308,0.209,0.617,0.174,0.791,0.383,0.826
"128",41011,"a1i0p0s2t0",0.2899,0.209,0.617,0.174,0.791,0.383,0.826
"129",41011,"a1i0p0s1t1",0.497,0.209,0.617,0.174,0.791,0.383,0.826
"130",41011,"a1i0p0s0t2",0.213,0.209,0.617,0.174,0.791,0.383,0.826
"131",41011,"a2i2p0s0t0",0.25,0.209,0.617,0.174,0.791,0.383,0.826
"132",41011,"a2i1p1s0t0",0.5,0.209,0.617,0.174,0.791,0.383,0.826
"133",41011,"a2i1p0s1t0",0.2692,0.209,0.617,0.174,0.791,0.383,0.826
"134",41011,"a2i1p0s0t1",0.2308,0.209,0.617,0.174,0.791,0.383,0.826
"135",41011,"a2i0p2s0t0",0.25,0.209,0.617,0.174,0.791,0.383,0.826
"136",41011,"a2i0p1s1t0",0.2692,0.209,0.617,0.174,0.791,0.383,0.826
"137",41011,"a2i0p1s0t1",0.2308,0.209,0.617,0.174,0.791,0.383,0.826
"138",41011,"a2i0p0s2t0",0.2899,0.209,0.617,0.174,0.791,0.383,0.826
"139",41011,"a2i0p0s1t1",0.497,0.209,0.617,0.174,0.791,0.383,0.826
"140",41011,"a2i0p0s0t2",0.213,0.209,0.617,0.174,0.791,0.383,0.826
"141",41013,"a1i2p0s0t0",0.25,0.161,0.587,0.253,0.839,0.413,0.747
"142",41013,"a1i1p1s0t0",0.5,0.161,0.587,0.253,0.839,0.413,0.747
"143",41013,"a1i1p0s1t0",0.2692,0.161,0.587,0.253,0.839,0.413,0.747
"144",41013,"a1i1p0s0t1",0.2308,0.161,0.587,0.253,0.839,0.413,0.747
"145",41013,"a1i0p2s0t0",0.25,0.161,0.587,0.253,0.839,0.413,0.747
"146",41013,"a1i0p1s1t0",0.2692,0.161,0.587,0.253,0.839,0.413,0.747
"147",41013,"a1i0p1s0t1",0.2308,0.161,0.587,0.253,0.839,0.413,0.747
"148",41013,"a1i0p0s2t0",0.2899,0.161,0.587,0.253,0.839,0.413,0.747
"149",41013,"a1i0p0s1t1",0.497,0.161,0.587,0.253,0.839,0.413,0.747
"150",41013,"a1i0p0s0t2",0.213,0.161,0.587,0.253,0.839,0.413,0.747
"151",41013,"a2i2p0s0t0",0.25,0.161,0.587,0.253,0.839,0.413,0.747
"152",41013,"a2i1p1s0t0",0.5,0.161,0.587,0.253,0.839,0.413,0.747
"153",41013,"a2i1p0s1t0",0.2692,0.161,0.587,0.253,0.839,0.413,0.747
"154",41013,"a2i1p0s0t1",0.2308,0.161,0.587,0.253,0.839,0.413,0.747
"155",41013,"a2i0p2s0t0",0.25,0.161,0.587,0.253,0.839,0.413,0.747
"156",41013,"a2i0p1s1t0",0.2692,0.161,0.587,0.253,0.839,0.413,0.747
"157",41013,"a2i0p1s0t1",0.2308,0.161,0.587,0.253,0.839,0.413,0.747
"158",41013,"a2i0p0s2t0",0.2899,0.161,0.587,0.253,0.839,0.413,0.747
